combo_id,trial_id,device_id,m,l,beta_qe,delta_alpha_e_over_ql,f,x0,y0,phi0,x_end,y_end,phi_end,T,steps,status,pass_direction
0,425,1,3,0.038400000000000004,2.0,0.0,20.0,0.10034455507993699,0.14589586634065335,3.120835042711981,1.1005149888784622,-0.05488375871963448,3.7620741368776867,0.062112799999999996,155282,ok,right
0,426,1,3,0.038400000000000004,2.0,0.0,20.0,-0.01654773373156786,-0.5520712641021978,1.4169841397856342,0.9853238408519931,0.0019035036866964783,-10.055594092777875,0.19043559999999998,476089,ok,right
0,427,1,3,0.038400000000000004,2.0,0.0,20.0,-0.05021195989102126,0.30050754574657246,3.823953331736684,0.9498691301298536,-0.0024145099137117564,43.82197345399718,0.388758,971895,ok,right
0,428,1,3,0.038400000000000004,2.0,0.0,20.0,0.5122851913794876,-0.6019023583813721,5.361226043715606,1.512422146506728,-0.31576488735707636,-13.41598579762711,0.1520928,380232,ok,right
0,429,1,3,0.038400000000000004,2.0,0.0,20.0,0.1540917670354247,0.1496849305572454,2.5427172387220773,1.1542612710120541,0.1775230904127692,-29.21668429282742,0.127608,319020,ok,right
0,430,1,3,0.038400000000000004,2.0,0.0,20.0,0.07905085626989604,0.9998472743541628,5.2182150241497505,1.0797324359159477,-0.1866382408271154,48.13218575046374,0.6430524,1607631,ok,right
0,431,1,3,0.038400000000000004,2.0,0.0,20.0,0.3153287133201957,0.7303309051532768,4.702843815887418,1.3157986480928574,-0.10066207815428538,11.707397214713243,0.6268252,1567063,ok,right
0,432,1,3,0.038400000000000004,2.0,0.0,20.0,0.6601904606446625,-0.1047451227381924,4.548312622197213,1.6602459289787403,0.07076147871235357,20.83369364467494,0.24429679999999998,610742,ok,right
0,433,1,3,0.038400000000000004,2.0,0.0,20.0,0.4939796462655068,0.8024956812482255,3.132674860047897,1.4942325132938175,0.08901245417523303,5.841902509871085,0.2045516,511379,ok,right
0,434,1,3,0.038400000000000004,2.0,0.0,20.0,0.08340892083942891,1.584754728390616,4.510222836290455,1.0834945800920435,0.2935275803391593,40.74131313675485,0.2143004,535751,ok,right
0,435,1,3,0.038400000000000004,2.0,0.0,20.0,0.1871052071452141,1.6348905714947541,0.007127813793483442,1.1871820516664287,0.07378238736594098,28.659029798045704,1.309132,3272830,ok,right
0,436,1,3,0.038400000000000004,2.0,0.0,20.0,0.45225882362574343,0.221695844596724,4.215764803982911,1.4530046841463897,-0.1906272852167123,1.456771267896056,0.1615132,403783,ok,right
0,437,1,3,0.038400000000000004,2.0,0.0,20.0,0.11382137220352889,0.5198567951061912,1.2223893369881553,1.1138872498763954,0.08685084171797425,45.22799858043105,0.1702372,425593,ok,right
0,438,1,3,0.038400000000000004,2.0,0.0,20.0,0.20005850791931154,0.8556630067425333,2.127962709594011,1.2003246386704476,0.22822023731721533,-12.926142465217852,0.1888916,472229,ok,right
0,439,1,3,0.038400000000000004,2.0,0.0,20.0,0.37881582062691455,-1.1899412808901872,1.0808598511341265,1.380614862094725,-0.2605329549293122,16.074447468444745,0.8982108,2245527,ok,right
0,440,1,3,0.038400000000000004,2.0,0.0,20.0,-0.003707808069884777,-0.663801445676455,5.935189792341,0.9966789214483761,-0.032227955580535934,10.300354763829027,0.4531784,1132946,ok,right
0,441,1,3,0.038400000000000004,2.0,0.0,20.0,0.5670198729261756,0.858599804457861,6.147180513896893,1.567062659147763,0.06739533422217685,-15.170252213230098,0.2305576,576394,ok,right
0,442,1,3,0.038400000000000004,2.0,0.0,20.0,0.4355177033692599,0.6748878131483002,0.3145695688223369,1.4357947835871046,-0.27802486253419,72.81257114200213,0.36515759999999997,912894,ok,right
0,443,1,3,0.038400000000000004,2.0,0.0,20.0,0.31302619706839324,-1.2738780077817247,0.14219790482779077,1.3149015830398614,-0.0614937816002406,53.13449202508388,0.43758159999999996,1093954,ok,right
0,444,1,3,0.038400000000000004,2.0,0.0,20.0,0.6487799150869251,0.12138652938437365,5.315390824871905,1.648973353638922,-0.22349053271889469,19.480332695329857,0.053527599999999995,133819,ok,right
0,445,1,3,0.038400000000000004,2.0,0.0,20.0,0.557186470553279,-0.6703734941588148,5.081706703241681,1.557284899331069,-0.02947295516012168,7.886393210435768,0.35998199999999997,899955,ok,right
0,446,1,3,0.038400000000000004,2.0,0.0,20.0,0.14208204187452794,1.9040951585458947,5.105419018040487,1.1425454739688516,-0.04663910022775551,-87.73034139047849,0.888562,2221405,ok,right
0,447,1,3,0.038400000000000004,2.0,0.0,20.0,-0.09749388378113509,0.12051088807549482,4.066303803475175,0.9032968803321962,0.01089764411491099,-6.380145513263604,0.1427876,356969,ok,right
0,448,1,3,0.038400000000000004,2.0,0.0,20.0,0.0016642505303025247,0.5944996414215441,0.8822758770059352,1.00222923514666,0.08254783412390966,-23.673949993727106,0.8452664,2113166,ok,right
0,449,1,3,0.038400000000000004,2.0,0.0,20.0,0.16268416866660118,-0.4803070231502579,3.742299451713401,1.1641498882691084,0.024157642988599515,-63.44195703890066,0.8239072,2059768,ok,right
0,450,1,3,0.038400000000000004,2.0,0.0,20.0,0.11562881451100111,0.8074105885055176,3.050547367611042,1.1157738968766222,0.04252390413810061,58.38523836281705,0.6321776,1580444,ok,right
0,451,1,3,0.038400000000000004,2.0,0.0,20.0,0.1378223925828934,0.9455338964032193,5.5620517935084655,1.138214625244767,0.027777143880843506,1.9171474979693344,0.41577,1039425,ok,right
0,452,1,3,0.038400000000000004,2.0,0.0,20.0,0.45144187025725846,-0.9668338977573692,0.0582411840133745,1.4515989179286208,0.13921189573254977,66.52161543808776,0.9778827999999999,2444707,ok,right
